geneId:ID,name,:LABEL
AGL28,AGL28,Gene
AGL36,AGL36,Gene
AGL38,AGL38,Gene
AGL39,AGL39,Gene
AGL42,AGL42,Gene
AGL43,AGL43,Gene
AGL44,AGL44,Gene
AGL48,AGL48,Gene
AGL49,AGL49,Gene
AGL52,AGL52,Gene
AGL53,AGL53,Gene
AGL54,AGL54,Gene
AGL55,AGL55,Gene
AGL56,AGL56,Gene
AGL6,AGL6,Gene
AGL61,AGL61,Gene
AGL62,AGL62,Gene
AGL65,AGL65,Gene
AGL66,AGL66,Gene
AGL67,AGL67,Gene
AGL71,AGL71,Gene
AGL76,AGL76,Gene
AGL77,AGL77,Gene
AGL78,AGL78,Gene
AGL8,AGL8,Gene
AGL80,AGL80,Gene
AGL82,AGL82,Gene
AGL83,AGL83,Gene
AGL86,AGL86,Gene
AGL87,AGL87,Gene
AGL89,AGL89,Gene
AGL90,AGL90,Gene
AGL92,AGL92,Gene
AGL96,AGL96,Gene
AGL97,AGL97,Gene
AGL99,AGL99,Gene
AGMAT,AGMAT,Gene
AGO1,AGO1,Gene
AGO2,AGO2,Gene
AGO3,AGO3,Gene
AGO4,AGO4,Gene
AGO5,AGO5,Gene
AGP1,AGP1,Gene
AGP10,AGP10,Gene
AGP12,AGP12,Gene
AGP14,AGP14,Gene
AGP15,AGP15,Gene
AGP16,AGP16,Gene
AGP18,AGP18,Gene
AGP2,AGP2,Gene
AGP24,AGP24,Gene
AGP26,AGP26,Gene
AGP27,AGP27,Gene
AGP3,AGP3,Gene
AGP31,AGP31,Gene
AGP40,AGP40,Gene
AGP5,AGP5,Gene
AGP6,AGP6,Gene
AGP9,AGP9,Gene
AGPAT1,AGPAT1,Gene
AGPAT2,AGPAT2,Gene
AGPAT3,AGPAT3,Gene
AGPAT4,AGPAT4,Gene
AGPAT5,AGPAT5,Gene
AGPAT6,AGPAT6,Gene
AGPAT9,AGPAT9,Gene
AGPS,AGPS,Gene
AGR2,AGR2,Gene
AGR3,AGR3,Gene
AGRN,AGRN,Gene
AGRP,AGRP,Gene
AGT,AGT,Gene
AGT2,AGT2,Gene
AGT3,AGT3,Gene
AGTPBP1,AGTPBP1,Gene
AGTR1,AGTR1,Gene
AGTR2,AGTR2,Gene
AGTRAP,AGTRAP,Gene
AGX1,AGX1,Gene
